Country Grouping,,Machine Line,,Artificial machine line,Primary Source,Secondary source NOT IN USE,CRP source,"Change
Indicator",delete,"Motor graders we have TM for, Backhoe Loaders we do not have TM for"
GMM,Myanmar,350,Compact Wheel Loaders,350,DES,,HVE,,,
GMM,Myanmar,310,GPE Crawler Excavators,GEC,DES,,HVE,,,
GMM,Myanmar,320,GPE Wheel Excavators,GEW,DES,,HVE,,,
GMM,Myanmar,360,GPE Wheel Loaders,WLO,DES,,HVE,,,
GMM,Myanmar,380,Motor Graders,Motor Graders,DES,,HVE,,,
GMM,Myanmar,390,Compaction Machines,Compaction Machines,DES,,,,,
GMM,Myanmar,340,Rigid Haulers,Rigid Haulers,DES,,HVE,,,
GNL,Netherlands,300,Compact Excavators,CEX,OHR,,CEE,,,
GNL,Netherlands,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GNL,Netherlands,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
GNL,Netherlands,330,Articulated Haulers,Articulated Haulers,OHR,,CEE,,,
GNL,Netherlands,340,Rigid Haulers,Rigid Haulers,OHR,,CEE,,,
GNL,Netherlands,350,Compact Wheel Loaders,350,OHR,,CEE,,,
GNL,Netherlands,360,GPE Wheel Loaders,WLO,OHR,,CEE,,,
GNL,Netherlands,380,Motor Graders,Motor Graders,OHR,,CEE,,,
GNL,Netherlands,390,Compaction Machines,Compaction Machines,,,,,,
GNL,Netherlands,410,Backhoe Loaders,Backhoe Loaders,OHR,,,,,
GNO,Norway,300,Compact Excavators,CEX,OHR,,CEE,,,
GNO,Norway,310,GPE Crawler Excavators,GEC,OHR,,CEE,,,
GNO,Norway,320,GPE Wheel Excavators,GEW,OHR,,CEE,,,
