Calendar Year,Source,source_code,Machine Line,Artificial machine line,Machine Line Code,Brand,Brand Code
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Liebherr,LIE
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Liebherr,LIE
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Liebherr,LIE
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Liebherr,LIE
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Linkbelt,LIK
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Linkbelt,LIK
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Linkbelt,LIK
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Liugong,LIU
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Liugong,LIU
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Liugong,LIU
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Liugong,LIU
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Liugong,LIU
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Liugong,LIU
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Manitou,MTU
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Mecalac,MEC
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Mecalac,MEC
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Mecalac,MEC
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Mecalac,MEC
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Messersi,MES
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Messersi,MES
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Mustang,MUS
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Mustang,MUS
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Mustang,MUS
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,New Holland,NEW
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,New Holland,NEW
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,New Holland,NEW
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,New Holland,NEW
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,New Holland,NEW
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Paus,PAU
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Rokbak,ROK
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Sany,SNY
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Sany,SNY
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Sany,SNY
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Sany,SNY
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Sany,SNY
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Sany,SNY
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Sany,SNY
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,SCMC,SCM
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,SCMC,SCM
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,SDLG,LIN
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,SDLG,LIN
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,SDLG,LIN
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,SDLG,LIN
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,SDLG,LIN
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,SEM,SEM
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,SEM,SEM
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Shantui,SBM
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Shantui,SBM
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Shantui,SBM
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Shantui,SBM
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Sumitomo,SUM
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Sumitomo,SUM
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Sumitomo,SUM
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Sunward,SUN
