Year,Geographical Region,Geographical Market Area,End Country,End Country Code,Machine Family,Machine Line,Machine Line Code,Size Class,Size Class Mapping,Total Market FID Sales
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VTR-2D0<1.8,Compaction Machines,2
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VTR-2D11.3+,Compaction Machines,8
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VTR-2D1.8<3.0,Compaction Machines,11
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VTR-2D3.0<5.0,Compaction Machines,56
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VTR-2D5.0<8.0,Compaction Machines,5
2024,Region Asia,MA Asia East,Philippines,PH,Road Machinery Equipment,Compaction Machines,390,VTR-2D8.0<11.3,Compaction Machines,61
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC0<1,<6T,10
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC1<2,<6T,30
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC2<3,<6T,2
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC3<4,<6T,62
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC4<5,<6T,71
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC5<6,<6T,141
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC6<8,6<10T,36
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Excavators,CEX,EC8<10,6<10T,10
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Wheel Loaders,350,WLC10<12,10<12,2
2024,Region Asia,MA Asia East,Singapore,SG,Compact Equipment,Compact Wheel Loaders,350,WLC7<8,7<10,0
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,Articulated Haulers,330,AH26<30,Articulated Haulers,5
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,Articulated Haulers,330,AH35+,Articulated Haulers,53
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC10<14,>10T,81
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC14<16,>10T,104
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC19<21,>10T,281
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC21<24,>10T,66
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC24<28,>10T,21
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC28<33,>10T,22
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC33<40,>10T,84
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC40<50,>10T,15
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC50<66,>10T,17
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC66<80,>10T,2
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Crawler Excavators,310,EC80<100,>10T,0
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Wheel Excavators,320,EW20+,>11T,1
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Wheel Loaders,360,WLC16<17,>12,0
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Wheel Loaders,360,WLC17<18,>12,13
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Wheel Loaders,360,WLC18<19,>12,2
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Wheel Loaders,360,WLC19<20,>12,1
2024,Region Asia,MA Asia East,Singapore,SG,General Purpose Equipment,GPE Wheel Loaders,360,WLC20<21,>12,2
2024,Region Asia,MA Asia East,Singapore,SG,Road Machinery Equipment,Compaction Machines,390,3WSR,Compaction Machines,2
2024,Region Asia,MA Asia East,Singapore,SG,Road Machinery Equipment,Compaction Machines,390,CR1.8<3,Compaction Machines,2
2024,Region Asia,MA Asia East,Singapore,SG,Road Machinery Equipment,Compaction Machines,390,CR3<5,Compaction Machines,1
