Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2024,Region Europe,MA Swecon & Robert Aebi,Germany,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,255
2024,Region Europe,MA Swecon & Robert Aebi,Germany,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,167
2024,Region Europe,MA Swecon & Robert Aebi,Germany,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,103
2024,Region Europe,MA Swecon & Robert Aebi,Germany,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Europe,MA Swecon & Robert Aebi,Germany,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,70
2024,Region Europe,MA Swecon & Robert Aebi,Germany,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,510
2024,Region Europe,MA Swecon & Robert Aebi,Germany,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,496
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,10
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,97
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,204
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,199
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,28
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,7
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,30
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,166
2024,Region Europe,MA Swecon & Robert Aebi,Sweden,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,734
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,12
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,60
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,36
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,44
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,11
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,1
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,15
2024,Region Europe,MA Swecon & Robert Aebi,Switzerland,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,35
2024,Region Europe,MA Volvo EU Owned Dealers,Denmark,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,2
2024,Region Europe,MA Volvo EU Owned Dealers,Denmark,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,71
2024,Region Europe,MA Volvo EU Owned Dealers,Denmark,310,GPE Crawler Excavators,>10T,VCE,Volvo CE,Volvo,Sweden,SAL,37
2024,Region Europe,MA Volvo EU Owned Dealers,Denmark,320,GPE Wheel Excavators,>11T,VCE,Volvo CE,Volvo,Sweden,SAL,17
2024,Region Europe,MA Volvo EU Owned Dealers,Denmark,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,10
2024,Region Europe,MA Volvo EU Owned Dealers,Denmark,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,5
