Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,97
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,107
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,25
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,3
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,13
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,34
2023,Region Europe,MA SMT EU & Pat O'Donnell,Netherlands,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,166
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,84
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,361
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,537
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,39
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Rokbak,United Kingdom,SAL,1
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,450
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,15
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,3
2023,Region Europe,MA SMT EU & Pat O'Donnell,United Kingdom,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,311
2023,Region Europe,MA Swecon & Robert Aebi,Germany,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,68
2023,Region Europe,MA Swecon & Robert Aebi,Germany,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,778
2023,Region Europe,MA Swecon & Robert Aebi,Germany,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,418
2023,Region Europe,MA Swecon & Robert Aebi,Germany,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,298
2023,Region Europe,MA Swecon & Robert Aebi,Germany,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,116
2023,Region Europe,MA Swecon & Robert Aebi,Germany,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,3
2023,Region Europe,MA Swecon & Robert Aebi,Germany,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,146
2023,Region Europe,MA Swecon & Robert Aebi,Germany,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,609
2023,Region Europe,MA Swecon & Robert Aebi,Germany,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,703
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,19
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,105
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,271
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,245
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,56
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,2
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,34
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,118
